"chord" "key" "music"
"300" "Am" "C" "muse black black heart"
"301" "Fmaj7" "C" "muse black black heart"
"302" "G6" "C" "muse black black heart"
"303" "E7" "C" "muse black black heart"
"304" "Am" "C" "muse black black heart"
"305" "Fmaj7" "C" "muse black black heart"
"306" "G" "C" "muse black black heart"
"307" "E" "C" "muse black black heart"
"308" "Am" "C" "muse black black heart"
"309" "Fmaj7" "C" "muse black black heart"
"310" "G" "C" "muse black black heart"
"311" "E" "C" "muse black black heart"
"312" "Am" "C" "muse black black heart"
"313" "Fmaj7" "C" "muse black black heart"
"314" "G" "C" "muse black black heart"
"315" "E" "C" "muse black black heart"
"316" "Am" "C" "muse black black heart"
"317" "Fmaj7" "C" "muse black black heart"
"318" "G" "C" "muse black black heart"
"319" "E7" "C" "muse black black heart"
"320" "E" "C" "muse black black heart"
"321" "E" "C" "muse black black heart"
"322" "Am" "C" "muse black black heart"
"323" "Fmaj7" "C" "muse black black heart"
"324" "G" "C" "muse black black heart"
"325" "E" "C" "muse black black heart"
"326" "Am" "C" "muse black black heart"
"327" "Fmaj7" "C" "muse black black heart"
"328" "G" "C" "muse black black heart"
"329" "E" "C" "muse black black heart"
"330" "E" "C" "muse black black heart"
"331" "Am" "C" "muse black black heart"
"332" "Fmaj7" "C" "muse black black heart"
"333" "G" "C" "muse black black heart"
"334" "E" "C" "muse black black heart"
"335" "Am" "C" "muse black black heart"
"336" "Fmaj7" "C" "muse black black heart"
"337" "G" "C" "muse black black heart"
"338" "E" "C" "muse black black heart"
"339" "Bb" "A#" "muse blackout"
"340" "Dm" "A#" "muse blackout"
"341" "D#" "A#" "muse blackout"
"342" "F" "A#" "muse blackout"
"343" "A7" "A#" "muse blackout"
"344" "Bb" "A#" "muse blackout"
"345" "Dm" "A#" "muse blackout"
"346" "D#" "A#" "muse blackout"
"347" "F" "A#" "muse blackout"
"348" "A7" "A#" "muse blackout"
"349" "Gm" "A#" "muse blackout"
"350" "Bb" "A#" "muse blackout"
"351" "D#" "A#" "muse blackout"
"352" "D#" "A#" "muse blackout"
"353" "D#" "A#" "muse blackout"
"354" "D" "A#" "muse blackout"
"355" "D#" "A#" "muse blackout"
"356" "D" "A#" "muse blackout"
"357" "F" "A#" "muse blackout"
"358" "Bb" "A#" "muse blackout"
"359" "Dm" "A#" "muse blackout"
"360" "D#" "A#" "muse blackout"
"361" "F" "A#" "muse blackout"
"362" "A7" "A#" "muse blackout"
"363" "Bb" "A#" "muse blackout"
"364" "Dm" "A#" "muse blackout"
"365" "D#" "A#" "muse blackout"
"366" "F" "A#" "muse blackout"
"367" "A7" "A#" "muse blackout"
"368" "Gm" "A#" "muse blackout"
"369" "Bb" "A#" "muse blackout"
"370" "D#" "A#" "muse blackout"
"371" "D#" "A#" "muse blackout"
"372" "D#" "A#" "muse blackout"
"373" "D" "A#" "muse blackout"
"374" "D#" "A#" "muse blackout"
"375" "D" "A#" "muse blackout"
"376" "F" "A#" "muse blackout"
"377" "Bb" "A#" "muse blackout"
"378" "Dm" "A#" "muse blackout"
"379" "D#" "A#" "muse blackout"
"380" "F" "A#" "muse blackout"
"381" "A7" "A#" "muse blackout"
"382" "Bb" "A#" "muse blackout"
"383" "Dm" "A#" "muse blackout"
"384" "D#" "A#" "muse blackout"
"385" "F" "A#" "muse blackout"
"386" "A7" "A#" "muse blackout"
"387" "Gm" "A#" "muse blackout"
"388" "Bb" "A#" "muse blackout"
"389" "D#" "A#" "muse blackout"
"390" "D#" "A#" "muse blackout"
"391" "D#" "A#" "muse blackout"
"392" "D" "A#" "muse blackout"
"393" "D#" "A#" "muse blackout"
"394" "D" "A#" "muse blackout"
"395" "F" "A#" "muse blackout"
"396" "Cm" "D#" "muse bliss"
"397" "Bb" "D#" "muse bliss"
"398" "Fm" "D#" "muse bliss"
"399" "Cm" "D#" "muse bliss"
"400" "Bb" "D#" "muse bliss"
"401" "Fm" "D#" "muse bliss"
"402" "Cm" "D#" "muse bliss"
"403" "Cm" "D#" "muse bliss"
"404" "Bb" "D#" "muse bliss"
"405" "Fm" "D#" "muse bliss"
"406" "Cm" "D#" "muse bliss"
"407" "Bb" "D#" "muse bliss"
"408" "Fm" "D#" "muse bliss"
"409" "Cm" "D#" "muse bliss"
"410" "Bb" "D#" "muse bliss"
"411" "Fm" "D#" "muse bliss"
"412" "Cm" "D#" "muse bliss"
"413" "Bb" "D#" "muse bliss"
"414" "Fm" "D#" "muse bliss"
"415" "Cm" "D#" "muse bliss"
"416" "C" "D#" "muse bliss"
"417" "Am" "D#" "muse bliss"
"418" "G" "D#" "muse bliss"
"419" "C" "D#" "muse bliss"
"420" "Am" "D#" "muse bliss"
"421" "E" "D#" "muse bliss"
"422" "Fm" "D#" "muse bliss"
"423" "Cm" "D#" "muse bliss"
"424" "Bb" "D#" "muse bliss"
"425" "Fm" "D#" "muse bliss"
"426" "Cm" "D#" "muse bliss"
"427" "Bb" "D#" "muse bliss"
"428" "Fm" "D#" "muse bliss"
"429" "Cm" "D#" "muse bliss"
"430" "Bb" "D#" "muse bliss"
"431" "Fm" "D#" "muse bliss"
"432" "Cm" "D#" "muse bliss"
"433" "Bb" "D#" "muse bliss"
"434" "Fm" "D#" "muse bliss"
"435" "Cm" "D#" "muse bliss"
"436" "C" "D#" "muse bliss"
"437" "Am" "D#" "muse bliss"
"438" "G" "D#" "muse bliss"
"439" "C" "D#" "muse bliss"
"440" "Am" "D#" "muse bliss"
"441" "E" "D#" "muse bliss"
"442" "C" "D#" "muse bliss"
"443" "Am" "D#" "muse bliss"
"444" "G" "D#" "muse bliss"
"445" "C" "D#" "muse bliss"
"446" "Am" "D#" "muse bliss"
"447" "E" "D#" "muse bliss"
"448" "Fm" "D#" "muse bliss"
"449" "Cm" "D#" "muse bliss"
"450" "Bb" "D#" "muse bliss"
"451" "Fm" "D#" "muse bliss"
"452" "Cm" "D#" "muse bliss"
"453" "Bb" "D#" "muse bliss"
"454" "Fm" "D#" "muse bliss"
"455" "Cm" "D#" "muse bliss"
"456" "C" "D#" "muse bliss"
"457" "Am" "D#" "muse bliss"
"458" "G" "D#" "muse bliss"
"459" "C" "D#" "muse bliss"
"460" "Am" "D#" "muse bliss"
"461" "E" "D#" "muse bliss"
"462" "C" "D#" "muse bliss"
"463" "Am" "D#" "muse bliss"
"464" "G" "D#" "muse bliss"
"465" "C" "D#" "muse bliss"
"466" "Am" "D#" "muse bliss"
"467" "E" "D#" "muse bliss"
"468" "Fm" "D#" "muse bliss"
"469" "D" "G" "muse break it to me"
"470" "B" "G" "muse break it to me"
"471" "B" "G" "muse break it to me"
"472" "E" "G" "muse break it to me"
"473" "B" "G" "muse break it to me"
"474" "E" "G" "muse break it to me"
"475" "B" "G" "muse break it to me"
"476" "B" "G" "muse break it to me"
"477" "B" "G" "muse break it to me"
"478" "D" "G" "muse break it to me"
"479" "B" "G" "muse break it to me"
"480" "B" "G" "muse break it to me"
"481" "E" "G" "muse break it to me"
"482" "B" "G" "muse break it to me"
"483" "E" "G" "muse break it to me"
"484" "D" "G" "muse break it to me"
"485" "E" "G" "muse break it to me"
"486" "Em" "G" "muse break it to me"
"487" "Am" "G" "muse break it to me"
"488" "D" "G" "muse break it to me"
"489" "B7/D#" "G" "muse break it to me"
"490" "Em" "G" "muse break it to me"
"491" "Am" "G" "muse break it to me"
"492" "C" "G" "muse break it to me"
"493" "F#" "G" "muse break it to me"
"494" "B5" "G" "muse break it to me"
"495" "D" "G" "muse break it to me"
"496" "B" "G" "muse break it to me"
"497" "B" "G" "muse break it to me"
"498" "E" "G" "muse break it to me"
"499" "B" "G" "muse break it to me"
"500" "B" "G" "muse break it to me"
"501" "B" "G" "muse break it to me"
"502" "B" "G" "muse break it to me"
"503" "D" "G" "muse break it to me"
"504" "E" "G" "muse break it to me"
"505" "Em" "G" "muse break it to me"
"506" "Am" "G" "muse break it to me"
"507" "D" "G" "muse break it to me"
"508" "B7/D#" "G" "muse break it to me"
"509" "Em" "G" "muse break it to me"
"510" "Am" "G" "muse break it to me"
"511" "C" "G" "muse break it to me"
"512" "F#" "G" "muse break it to me"
"513" "B5" "G" "muse break it to me"
"514" "D" "G" "muse break it to me"
"515" "B" "G" "muse break it to me"
"516" "D" "G" "muse break it to me"
"517" "B" "G" "muse break it to me"
"518" "D" "G" "muse break it to me"
"519" "B" "G" "muse break it to me"
"520" "D" "G" "muse break it to me"
"521" "B" "G" "muse break it to me"
"522" "Dm" "C" "muse cant take my eyes off you"
"523" "G" "C" "muse cant take my eyes off you"
"524" "C" "C" "muse cant take my eyes off you"
"525" "A" "C" "muse cant take my eyes off you"
"526" "Dm" "C" "muse cant take my eyes off you"
"527" "G" "C" "muse cant take my eyes off you"
"528" "D" "D" "muse cant take my eyes off you 57980"
"529" "Dmaj7" "D" "muse cant take my eyes off you 57980"
"530" "D" "D" "muse cant take my eyes off you 57980"
"531" "Dmaj7" "D" "muse cant take my eyes off you 57980"
"532" "D7" "D" "muse cant take my eyes off you 57980"
"533" "G" "D" "muse cant take my eyes off you 57980"
"534" "Gm" "D" "muse cant take my eyes off you 57980"
"535" "D" "D" "muse cant take my eyes off you 57980"
"536" "E" "D" "muse cant take my eyes off you 57980"
"537" "A" "D" "muse cant take my eyes off you 57980"
"538" "B" "D" "muse cant take my eyes off you 57980"
"539" "Em" "D" "muse cant take my eyes off you 57980"
"540" "A" "D" "muse cant take my eyes off you 57980"
"541" "D" "D" "muse cant take my eyes off you 57980"
"542" "B" "D" "muse cant take my eyes off you 57980"
"543" "Em" "D" "muse cant take my eyes off you 57980"
"544" "A" "D" "muse cant take my eyes off you 57980"
"545" "F#m" "D" "muse cant take my eyes off you 57980"
"546" "Bm" "D" "muse cant take my eyes off you 57980"
"547" "Em" "D" "muse cant take my eyes off you 57980"
"548" "A" "D" "muse cant take my eyes off you 57980"
"549" "D" "D" "muse cant take my eyes off you 57980"
"550" "B" "D" "muse cant take my eyes off you 57980"
"551" "Gm" "A#" "muse conscience"
"552" "Cm" "A#" "muse conscience"
"553" "Am" "A#" "muse conscience"
"554" "Dsus4" "F" "muse dark shines"
"555" "Dm" "F" "muse dark shines"
"556" "A7" "F" "muse dark shines"
"557" "Gm" "F" "muse dark shines"
"558" "Ddim" "F" "muse dark shines"
"559" "Bb" "F" "muse dark shines"
"560" "A7" "F" "muse dark shines"
"561" "Gm" "F" "muse dark shines"
"562" "Dm" "F" "muse dark shines"
"563" "A7" "F" "muse dark shines"
"564" "Am" "Eb" "muse dead inside"
"565" "Am" "Eb" "muse dead inside"
"566" "C" "Eb" "muse dead inside"
"567" "G" "Eb" "muse dead inside"
"568" "Am" "Eb" "muse dead inside"
"569" "C" "Eb" "muse dead inside"
"570" "G" "Eb" "muse dead inside"
"571" "Am" "Eb" "muse dead inside"
"572" "Am" "Eb" "muse dead inside"
"573" "C" "Eb" "muse dead inside"
"574" "G" "Eb" "muse dead inside"
"575" "Am" "Eb" "muse dead inside"
"576" "C" "Eb" "muse dead inside"
"577" "G" "Eb" "muse dead inside"
"578" "F" "Eb" "muse dead inside"
"579" "F" "Eb" "muse dead inside"
"580" "Em" "Eb" "muse dead inside"
"581" "Am" "Eb" "muse dead inside"
"582" "G" "Eb" "muse dead inside"
"583" "F" "Eb" "muse dead inside"
"584" "Em" "Eb" "muse dead inside"
"585" "Dm" "Eb" "muse dead inside"
"586" "F" "Eb" "muse dead inside"
"587" "G" "Eb" "muse dead inside"
"588" "Am" "Eb" "muse dead inside"
"589" "C" "Eb" "muse dead inside"
"590" "G" "Eb" "muse dead inside"
"591" "Am" "Eb" "muse dead inside"
"592" "C" "Eb" "muse dead inside"
"593" "G" "Eb" "muse dead inside"
"594" "Am" "Eb" "muse dead inside"
"595" "C" "Eb" "muse dead inside"
"596" "G" "Eb" "muse dead inside"
"597" "Am" "Eb" "muse dead inside"
"598" "Am" "Eb" "muse dead inside"
"599" "C" "Eb" "muse dead inside"
"600" "G" "Eb" "muse dead inside"
"601" "Am" "Eb" "muse dead inside"
"602" "C" "Eb" "muse dead inside"
"603" "G" "Eb" "muse dead inside"
"604" "F" "Eb" "muse dead inside"
"605" "F" "Eb" "muse dead inside"
"606" "Em" "Eb" "muse dead inside"
"607" "Am" "Eb" "muse dead inside"
"608" "G" "Eb" "muse dead inside"
"609" "F" "Eb" "muse dead inside"
"610" "Em" "Eb" "muse dead inside"
"611" "Dm" "Eb" "muse dead inside"
"612" "F" "Eb" "muse dead inside"
"613" "G" "Eb" "muse dead inside"
"614" "Am" "Eb" "muse dead inside"
"615" "Am" "Eb" "muse dead inside"
"616" "F" "Eb" "muse dead inside"
"617" "C" "Eb" "muse dead inside"
"618" "G" "Eb" "muse dead inside"
"619" "Am" "Eb" "muse dead inside"
"620" "F" "Eb" "muse dead inside"
"621" "C" "Eb" "muse dead inside"
"622" "G" "Eb" "muse dead inside"
"623" "Am" "Eb" "muse dead inside"
"624" "F" "Eb" "muse dead inside"
"625" "C" "Eb" "muse dead inside"
"626" "G" "Eb" "muse dead inside"
"627" "Am" "Eb" "muse dead inside"
"628" "F" "Eb" "muse dead inside"
"629" "C" "Eb" "muse dead inside"
"630" "G" "Eb" "muse dead inside"
"631" "Am" "Eb" "muse dead inside"
"632" "F" "Eb" "muse dead inside"
"633" "C" "Eb" "muse dead inside"
"634" "G" "Eb" "muse dead inside"
"635" "F" "Eb" "muse dead inside"
"636" "F" "Eb" "muse dead inside"
"637" "Em" "Eb" "muse dead inside"
"638" "Am" "Eb" "muse dead inside"
"639" "G" "Eb" "muse dead inside"
"640" "F" "Eb" "muse dead inside"
"641" "Em" "Eb" "muse dead inside"
"642" "Am" "Eb" "muse dead inside"
"643" "G" "Eb" "muse dead inside"
"644" "F" "Eb" "muse dead inside"
"645" "Em" "Eb" "muse dead inside"
"646" "Am" "Eb" "muse dead inside"
"647" "G" "Eb" "muse dead inside"
"648" "F" "Eb" "muse dead inside"
"649" "Em" "Eb" "muse dead inside"
"650" "Dm" "Eb" "muse dead inside"
"651" "F" "Eb" "muse dead inside"
"652" "G" "Eb" "muse dead inside"
"653" "Am" "Eb" "muse dead inside"
"654" "G" "G" "muse dig down"
"655" "G" "G" "muse dig down"
"656" "F" "G" "muse dig down"
"657" "C" "G" "muse dig down"
"658" "G" "G" "muse dig down"
"659" "F" "G" "muse dig down"
"660" "C" "G" "muse dig down"
"661" "G" "G" "muse dig down"
"662" "G" "G" "muse dig down"
"663" "F" "G" "muse dig down"
"664" "C" "G" "muse dig down"
"665" "G" "G" "muse dig down"
"666" "F" "G" "muse dig down"
"667" "C" "G" "muse dig down"
"668" "G" "G" "muse dig down"
"669" "G" "G" "muse dig down"
"670" "F" "G" "muse dig down"
"671" "C" "G" "muse dig down"
"672" "G" "G" "muse dig down"
"673" "F" "G" "muse dig down"
"674" "C" "G" "muse dig down"
"675" "G" "G" "muse dig down"
"676" "G" "G" "muse dig down"
"677" "F" "G" "muse dig down"
"678" "C" "G" "muse dig down"
"679" "G" "G" "muse dig down"
"680" "F" "G" "muse dig down"
"681" "C" "G" "muse dig down"
"682" "G" "G" "muse dig down"
"683" "G" "G" "muse dig down"
"684" "F" "G" "muse dig down"
"685" "C" "G" "muse dig down"
"686" "G" "G" "muse dig down"
"687" "F" "G" "muse dig down"
"688" "C" "G" "muse dig down"
"689" "G" "G" "muse dig down"
"690" "D" "G" "muse dig down"
"691" "Em" "G" "muse dig down"
"692" "C" "G" "muse dig down"
"693" "D" "G" "muse dig down"
"694" "G" "G" "muse dig down"
"695" "F" "G" "muse dig down"
"696" "C" "G" "muse dig down"
"697" "G" "G" "muse dig down"
"698" "F" "G" "muse dig down"
"699" "C" "G" "muse dig down"
"700" "G" "G" "muse dig down"
"701" "F" "G" "muse dig down"
"702" "C" "G" "muse dig down"
"703" "G" "G" "muse dig down"
"704" "Am" "C" "muse easily"
"705" "G" "C" "muse easily"
"706" "F" "C" "muse easily"
"707" "E" "C" "muse easily"
"708" "Dm" "C" "muse easily"
"709" "C" "C" "muse easily"
"710" "F" "C" "muse easily"
"711" "E" "C" "muse easily"
"712" "Am" "C" "muse easily"
"713" "Am" "C" "muse easily"
"714" "G" "C" "muse easily"
"715" "Dm" "C" "muse easily"
"716" "E" "C" "muse easily"
"717" "Am" "C" "muse endlessly"
"718" "E7" "C" "muse endlessly"
"719" "Am" "C" "muse endlessly"
"720" "E7" "C" "muse endlessly"
"721" "Am" "C" "muse endlessly"
